"cset_id","company_name","country","website","region","stage","ai_pubs_since_2010","ai_pubs_in_top_conf_since_2010","ai_patents_since_2010","ai_pubs_since_2010_rank","ai_pubs_in_top_conf_since_2010_rank","ai_patents_since_2010_rank","market","crunchbase_uuid","crunchbase_url","aliases","grid_ids","permids","parents","included_subsidiaries","excluded_subsidiaries"
"","Microsoft","United States","http://www.microsoft.com","North America","Mature","10371","3690","1741","1","1","2","NASDAQ:MSFT","fd80725f-53fc-7009-9878-aeecf1e9ffbb","https://www.crunchbase.com/organization/microsoft?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Microsoft (Contract); Microsoft Corp; Microsoft Corporation","grid.419815.0, grid.424745.4, grid.425776.5, grid.434364.2, grid.436621.4, grid.451068.e, grid.472724.0, grid.472818.0, grid.47355.30, grid.480246.c, grid.481753.c, grid.482139.5, grid.497586.1, grid.501318.e, grid.24488.32, grid.466948.1, grid.466946.f, grid.491181.4","4295907168, 5026988025, 5073957652, 5048229492","","Microsoft Research, Microsoft Research India, Semantic Machines","LinkedIn"
"","Google","United States","http://www.google.com/","North America","Mature","7776","2865","1565","2","2","3","NASDAQ:GOOG","6acfa7da-1dbd-936e-d985-cf07a1b27711","https://www.crunchbase.com/organization/google?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Google; Google LLC; Google [X] - Self-Driving Car Project","grid.420451.6, grid.424498.7, grid.432839.7, grid.472568.a, grid.498398.7, grid.498210.6, grid.497121.8","4295899948, 5040958065, 4298082502","Alphabet","DeepMind, Fitbit, Google Brain, Google Robotics",""
"","IBM","United States","http://www.ibm.com/","North America","Mature","7722","1555","3539","3","3","1","NYSE:IBM, SWX:IBM","fc5fbe7a-562d-d577-b05e-46797caa134c","https://www.crunchbase.com/organization/ibm?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Computing Tabulating Recording; Ctr; International Business Machines; International Business Machines Corp; International Business Machines Corporation","grid.14648.3f, grid.292504.8, grid.410484.d, grid.424192.8, grid.424815.e, grid.425187.d, grid.435338.a, grid.435339.b, grid.435341.4, grid.463333.2, grid.466738.8, grid.466739.9, grid.485587.3, grid.496908.a, grid.501325.0, grid.507216.7, grid.410387.9, grid.420126.3, grid.424816.d, grid.464581.a, grid.481550.d, grid.481551.c, grid.481552.f, grid.481553.e, grid.481554.9, grid.481555.8, grid.481556.b, grid.11447.37","4295904307","","IBM Research",""
"","Facebook","United States","http://www.facebook.com","North America","Mature","2522","1091","513","4","4","14","NASDAQ:FB","df662812-7f97-0b43-9d3e-12f64f504fbb","https://www.crunchbase.com/organization/facebook?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Facebook Inc; Facebook, Inc","grid.436437.1, grid.453567.6, grid.474390.d","4297297477, 5045867015, 5060641199, 5052526295, 5040047854","","Mapillary, CTRL-Labs, Facebook AI, Facebook Reality Labs, Facebook Research, GrokStyle, Oculus Vr",""
"","Tencent","China","https://www.tencent.com/en-us/","Asia","Mature","2137","904","1041","7","5","7","HKG:0700","3cae090b-ed2d-95f8-79a9-e32ca480258f","https://www.crunchbase.com/organization/tencent?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Tencent Holdings; Tencent Holdings Limited; Tencent Ltd; Tengxun; 腾讯","grid.471330.2","5057833188, 4295865078, 5065360019","","Tencent AI Lab",""
"","Alibaba","China","http://alibabagroup.com","Asia","Mature","1830","808","650","9","6","11","SEHK:9988, HKG:9988, NYSE:BABA","17d626a7-27a7-a51b-9337-3839f8ed055e","https://www.crunchbase.com/organization/alibaba?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Alibaba; Alibaba Group; Alibaba Group Holding Limited; Alibaba Group Holding Ltd; 阿里; 阿里巴巴集团; 阿里巴巴集团控股有限公司","grid.480001.d, grid.481557.a, grid.481558.5","5000066483","","",""
"","Verizon","United States","http://www.verizon.com/","North America","Mature","1358","728","328","13","7","27","NYSE:VZ","e693e2f0-50bb-05ab-8a27-4078f5dacf11","https://www.crunchbase.com/organization/verizon?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.426479.a, grid.471324.7, grid.473825.f, grid.422184.9","4296599973, 5052791256, 4295911976","","Oath, Verizon Media, Yahoo, Yahoo! Labs",""
"","Amazon","United States","http://amazon.com","North America","Mature","1851","630","442","8","8","16","NASDAQ:AMZN","05554f65-6aa9-4dd1-6271-8ce2d60f10c4","https://www.crunchbase.com/organization/amazon?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Amazon; Amazon.com; Amazon.com Inc","grid.467171.2, grid.497915.7, grid.499609.b","4295905494, 5000053451, 5038056692, 5051388112","","A9.com, Amazon Advertising, Amazon Lab126, Amazon Web Services, Zoox Inc.",""
"","Adobe","United States","http://www.adobe.com","North America","Mature","1600","575","389","12","9","19","NASDAQ:ADBE","172a34b4-9edd-b0ae-c768-cbfa8e1ab52c","https://www.crunchbase.com/organization/adobe-systems?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Adobe Corp; Adobe Corporation; Adobe Inc; Adobe Systems","grid.467212.4","4295905431","","Adobe Research",""
"","Baidu","China","http://www.baidu.com","Asia","Mature","1219","511","1328","14","10","5","NASDAQ:BIDU","c273424a-c118-e7ab-29a6-843775e7e6d0","https://www.crunchbase.com/organization/baidu?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Baidu Inc; 百度","grid.459383.0, grid.497859.e","4295864818, 5061450735, 5036392074","","iQiyi, Baidu Silicon Valley AI Lab, Baidu Usa",""
"","Huawei","China","https://www.huawei.com/","Asia","Mature","1726","452","527","10","11","13","","09cce08a-c9fc-0e79-e825-249b00642c79","https://www.crunchbase.com/organization/huawei?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Huawei Technologies; Huawei Technologies Co., Ltd; 华为; 华为公司; 华为技术有限公司","grid.420699.0, grid.424748.9, grid.435078.d, grid.450842.f, grid.453400.6, grid.471160.5, grid.486148.7","4296309931","Huawei Investment & Holding Co., Ltd.","",""
"","Sensetime","China","http://www.sensetime.com/","Asia","Mature","568","317","102","24","12","57","","5260df21-a4af-7e6b-7da0-90def51cc36c","https://www.crunchbase.com/organization/sensetime","Beijing Sensetime Technology Development Co Ltd; Sensetime; Sensetime Group Ltd; Shangtang Keji; 商汤; 商汤科技","","5050912854","","",""
"","Samsung","South Korea","https://www.samsung.com/us/","Asia","Mature","2380","278","1275","5","13","6","KRX:5930, 005930:KRX","df14597c-3e51-8d58-9c15-fb3de3a34a54","https://www.crunchbase.com/organization/samsung-electronics?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Samsung; Samsung Electronics; Samsung Electronics Co Ltd; Samsung Electronics Co., Ltd","grid.419666.a, grid.420463.7, grid.436658.a, grid.437715.3, grid.465065.4, grid.473100.1, grid.473730.4, grid.474488.3, grid.474677.1, grid.495563.8, grid.497733.d, grid.499000.4","4295882451, 5047107216","","Samsung Research America",""
